Country,Time,Monetary Aggregates - M2 (JPY),Monetary Aggregates - M3 (JPY)
JP,1955-01,3581223800349.6,
JP,1955-02,3555441696605.7,
JP,1955-03,3591476914965.9,
JP,1955-04,3664343710103.1,
JP,1955-05,3668425046989.2,
JP,1955-06,3716604731205.6,
JP,1955-07,3778720687716.0,
JP,1955-08,3796340117687.7,
JP,1955-09,3844917981112.5,
JP,1955-10,3900862159892.7,
JP,1955-11,3965964460466.1,
JP,1955-12,4297349106657.0,
JP,1956-01,4156791846091.8,
JP,1956-02,4160972727780.0,
JP,1956-03,4260816164286.3,
JP,1956-04,4321339403963.1,
JP,1956-05,4365238661689.2,
JP,1956-06,4484991058615.5,
JP,1956-07,4508085452702.7,
JP,1956-08,4560545563409.4,
JP,1956-09,4734948056688.6,
JP,1956-10,4731762623021.4,
JP,1956-11,4842058263748.2,
JP,1956-12,5232472977584.4,
JP,1957-01,5118991903190.4,
JP,1957-02,5085445304882.7,
JP,1957-03,5260544611776.6,
JP,1957-04,5304145235096.4,
JP,1957-05,5336995019789.4,
JP,1957-06,5426485796877.3,
JP,1957-07,5398613252289.3,
JP,1957-08,5419219026324.0,
JP,1957-09,5482429975657.5,
JP,1957-10,5551514068314.9,
JP,1957-11,5637918956537.7,
JP,1957-12,6004044738661.5,
JP,1958-01,5850944833031.7,
JP,1958-02,5814909614671.5,
JP,1958-03,5943919678193.1,
JP,1958-04,6058396200608.1,
JP,1958-05,6070042942453.8,
JP,1958-06,6169687289355.9,
JP,1958-07,6251015392671.6,
JP,1958-08,6352650635615.7,
JP,1958-09,6457869491435.4,
JP,1958-10,6544174834856.1,
JP,1958-11,6760187055413.1,
JP,1958-12,7135072780121.7,
JP,1959-01,6902337032811.9,
JP,1959-02,6964054810113.9,
JP,1959-03,7184745636369.6,
JP,1959-04,7273041875832.3,
JP,1959-05,7410811881938.7,
JP,1959-06,7452620698820.7,
JP,1959-07,7523297508311.7,
JP,1959-08,7473823741668.0,
JP,1959-09,7763100936570.6,
JP,1959-10,7877278824579.3,
JP,1959-11,8023111959655.8,
JP,1959-12,8563640235058.8,
JP,1960-01,8449661436654.3,
JP,1960-02,8365546078879.8,
JP,1960-03,8621276675474.7,
JP,1960-04,8737345914723.3,
JP,1960-05,8799163236827.4,
JP,1960-06,8952760866467.7,
JP,1960-07,9105860772097.5,
JP,1960-08,9113326632255.0,
JP,1960-09,9377518537028.4,
JP,1960-10,9488013267359.4,
JP,1960-11,9712188161688.6,
JP,1960-12,10372966558028.4,
JP,1961-01,10148891208501.3,
JP,1961-02,10243757404902.6,
JP,1961-03,10596146004336.6,
JP,1961-04,10864021066787.7,
JP,1961-05,10833659902147.2,
JP,1961-06,11073264240801.9,
JP,1961-07,11114973512881.8,
JP,1961-08,11162356838681.4,
JP,1961-09,11442177277384.5,
JP,1961-10,11472936621233.4,
JP,1961-11,11698306053187.8,
JP,1961-12,12466294201389.3,
JP,1962-01,12120575103696.0,
JP,1962-02,12102657039318.0,
JP,1962-03,12409553664192.3,
JP,1962-04,12601675132245.3,
JP,1962-05,12714758027430.9,
JP,1962-06,12928878896748.0,
JP,1962-07,13022849189930.4,
JP,1962-08,13141108414825.2,
JP,1962-09,13638135611710.5,
JP,1962-10,13675365367695.9,
JP,1962-11,14028251691140.4,
JP,1962-12,14990451748239.0,
JP,1963-01,14671112023102.2,
JP,1963-02,14775833154911.4,
JP,1963-03,15461995475786.7,
JP,1963-04,15509577891190.5,
JP,1963-05,15718422885996.3,
JP,1963-06,16241132641823.4,
JP,1963-07,16287321429997.8,
JP,1963-08,16397716615526.7,
JP,1963-09,16998469496200.2,
JP,1963-10,17067553588857.6,
JP,1963-11,17442439313566.2,
JP,1963-12,18582924111225.9,
JP,1964-01,18078630143787.3,
JP,1964-02,18080421950225.1,
JP,1964-03,18648623680611.9,
JP,1964-04,18747770303503.5,
JP,1964-05,19014351283527.3,
JP,1964-06,19149134945570.7,
JP,1964-07,19266000543236.1,
JP,1964-08,19331202388611.6,
JP,1964-09,19874119739265.0,
JP,1964-10,19900797746227.8,
JP,1964-11,20216852492895.3,
JP,1964-12,21424530031972.5,
JP,1965-01,21039490737449.7,
JP,1965-02,21135949650684.6,
JP,1965-03,21579521288842.2,
JP,1965-04,21693201452840.4,
JP,1965-05,21866907132504.9,
JP,1965-06,22296243863962.2,
JP,1965-07,22393996859624.4,
JP,1965-08,22559639410318.8,
JP,1965-09,23269792028500.2,
JP,1965-10,23496853722090.3,
JP,1965-11,23763335157312.0,
JP,1965-12,25278805224482.4,
JP,1966-01,24571838039968.2,
JP,1966-02,24641718491042.4,
JP,1966-03,25570471494635.4,
JP,1966-04,25582317326085.3,
JP,1966-05,25748158966383.9,
JP,1966-06,26234933048652.9,
JP,1966-07,26601954733995.6,
JP,1966-08,26602651547610.3,
JP,1966-09,27376512839135.7,
JP,1966-10,27300759244737.6,
JP,1966-11,27772601606691.6,
JP,1966-12,29388313289576.7,
JP,1967-01,28121406593250.0,
JP,1967-02,27829541233492.8,
JP,1967-03,28490419174634.7,
JP,1967-04,28820808372804.6,
JP,1967-05,28685228352344.4,
JP,1967-06,29298424333280.4,
JP,1967-07,29692323115190.1,
JP,1967-08,29897086773109.8,
JP,1967-09,30523522212725.1,
JP,1967-10,30743814859772.4,
JP,1967-11,31222227178665.0,
JP,1967-12,32611773071178.9,
JP,1968-01,32547268039418.1,
JP,1968-02,32225638783833.0,
JP,1968-03,32840228391998.4,
JP,1968-04,33245773915753.8,
JP,1968-05,33455415268976.4,
JP,1968-06,34098474690542.4,
JP,1968-07,34447379221902.9,
JP,1968-08,34568823880464.9,
JP,1968-09,35070927862257.3,
JP,1968-10,35246027169151.2,
JP,1968-11,36017698475030.4,
JP,1968-12,37701797436958.2,
JP,1969-01,37721507307774.0,
JP,1969-02,37287790605024.3,
JP,1969-03,37985301033339.0,
JP,1969-04,38716358059961.4,
JP,1969-05,39032213717024.7,
JP,1969-06,39818020384802.1,
JP,1969-07,40427334118456.2,
JP,1969-08,40814762488229.4,
JP,1969-09,41437415225364.9,
JP,1969-10,41775768007702.8,
JP,1969-11,42692874269450.1,
JP,1969-12,44744194006324.8,
JP,1970-01,44833087514600.1,
JP,1970-02,44390113145255.1,
JP,1970-03,45094392620112.6,
JP,1970-04,45933754391419.8,
JP,1970-05,46471893591572.4,
JP,1970-06,47218977331332.9,
JP,1970-07,47935500816848.7,
JP,1970-08,48252551011537.2,
JP,1970-09,48815875046621.1,
JP,1970-10,49235755021878.9,
JP,1970-11,50119911954131.1,
JP,1970-12,52350611424390.0,
JP,1971-01,52452545301740.4,
JP,1971-02,52130716956551.1,
JP,1971-03,53101577411432.4,
JP,1971-04,54292630968558.9,
JP,1971-05,55206452251836.9,
JP,1971-06,56431948310490.0,
JP,1971-07,57884804697139.5,
JP,1971-08,58703062970401.5,
JP,1971-09,59841755961623.4,
JP,1971-10,60480236322292.8,
JP,1971-11,61567166016422.7,
JP,1971-12,65288747987733.3,
JP,1972-01,65615254938621.3,
JP,1972-02,65305471514486.1,
JP,1972-03,66939200806551.3,
JP,1972-04,68492796532926.0,
JP,1972-05,69302095773999.0,
JP,1972-06,71463312972392.1,
JP,1972-07,73552559278866.9,
JP,1972-08,74188252385077.5,
JP,1972-09,75944919507736.2,
JP,1972-10,77287579798461.0,
JP,1972-11,79092327060534.0,
JP,1972-12,82589535047911.2,
JP,1973-01,82747910828052.3,
JP,1973-02,82790814637757.4,
JP,1973-03,84925254284385.6,
JP,1973-04,87188604449733.3,
JP,1973-05,87636456514381.2,
JP,1973-06,89529898195125.3,
JP,1973-07,90311125802006.1,
JP,1973-08,90416046023419.5,
JP,1973-09,91559517165142.2,
JP,1973-10,91497898932642.3,
JP,1973-11,92784814134191.1,
JP,1973-12,95775538168483.5,
JP,1974-01,95538123815475.0,
JP,1974-02,94903724791691.7,
JP,1974-03,95762298709804.2,
JP,1974-04,97056182047500.0,
JP,1974-05,97848857306622.3,
JP,1974-06,99617867984741.4,
JP,1974-07,100333893746247.0,
JP,1974-08,100573995808912.0,
JP,1974-09,101233579667627.0,
JP,1974-10,101296790616960.0,
JP,1974-11,103145835315968.0,
JP,1974-12,107010562712698.0,
JP,1975-01,106898674355138.0,
JP,1975-02,106219081991201.0,
JP,1975-03,107501617221457.0,
JP,1975-04,109495599152322.0,
JP,1975-05,110134875871409.0,
JP,1975-06,111996164581074.0,
JP,1975-07,113486549358116.0,
JP,1975-08,114187942033712.0,
JP,1975-09,115182792785900.0,
JP,1975-10,115738053692013.0,
JP,1975-11,117472621868606.0,
JP,1975-12,122507597958824.0,
JP,1976-01,122900999016723.0,
JP,1976-02,122460314177826.0,
JP,1976-03,124347982260049.0,
JP,1976-04,126118187475793.0,
JP,1976-05,127210791223643.0,
JP,1976-06,130159706441053.0,
JP,1976-07,131110757480316.0,
JP,1976-08,131508040785497.0,
JP,1976-09,132511452390665.0,
JP,1976-10,132936807330039.0,
JP,1976-11,134276381731898.0,
JP,1976-12,139434494742314.0,
JP,1977-01,138965240545215.0,
JP,1977-02,137681510777333.0,
JP,1977-03,139516221024838.0,
JP,1977-04,140606336152635.0,
JP,1977-05,141428576217981.0,
JP,1977-06,144442494191163.0,
JP,1977-07,145785652205898.0,
JP,1977-08,145886192456019.0,
JP,1977-09,147469950257430.0,
JP,1977-10,147058133411143.0,
JP,1977-11,148777570777816.0,
JP,1977-12,154309673609721.0,
JP,1978-01,153640632994807.0,
JP,1978-02,152408566979216.0,
JP,1978-03,154964977041946.0,
JP,1978-04,157404322417406.0,
JP,1978-05,157685038759328.0,
JP,1978-06,161785985971442.0,
JP,1978-07,163349337088422.0,
JP,1978-08,163900118478442.0,
JP,1978-09,165191413651283.0,
JP,1978-10,164880634779127.0,
JP,1978-11,167046928762427.0,
JP,1978-12,173126328916278.0,
JP,1979-01,172493522609328.0,
JP,1979-02,171164002232481.0,
JP,1979-03,173936125881362.0,
JP,1979-04,176664051638110.0,
JP,1979-05,177911348008423.0,
JP,1979-06,180926062340021.0,
JP,1979-07,182727026899615.0,
JP,1979-08,183341218328572.0,
JP,1979-09,184043208272981.0,
JP,1979-10,183756519242933.0,
JP,1979-11,185563157856246.0,
JP,1979-12,192253364915783.0,
JP,1980-01,190717289074577.0,295200000000000.0
JP,1980-02,189611346323246.0,297000000000000.0
JP,1980-03,192378393187220.0,298600000000000.0
JP,1980-04,195013543188411.0,300700000000000.0
JP,1980-05,196298069314710.0,303100000000000.0
JP,1980-06,198285381743834.0,304200000000000.0
JP,1980-07,198783205299136.0,305500000000000.0
JP,1980-08,198467051007667.0,307100000000000.0
JP,1980-09,198855673915065.0,308600000000000.0
JP,1980-10,197777802797926.0,310300000000000.0
JP,1980-11,200135919614873.0,312800000000000.0
JP,1980-12,207327235208181.0,314900000000000.0
JP,1981-01,204892667983222.0,317000000000000.0
JP,1981-02,203962322262795.0,319400000000000.0
JP,1981-03,207137900994587.0,321800000000000.0
JP,1981-04,210364148030648.0,325100000000000.0
JP,1981-05,210942304241245.0,327100000000000.0
JP,1981-06,214814099318924.0,330600000000000.0
JP,1981-07,216668021713235.0,333200000000000.0
JP,1981-08,217585924333399.0,336100000000000.0
JP,1981-09,218978157935570.0,339100000000000.0
JP,1981-10,219064164644584.0,342500000000000.0
JP,1981-11,221047296192020.0,344900000000000.0
JP,1981-12,229089819388085.0,347400000000000.0
JP,1982-01,226834532351708.0,350300000000000.0
JP,1982-02,225573299709101.0,352700000000000.0
JP,1982-03,228852604124681.0,354800000000000.0
JP,1982-04,229971089521077.0,356400000000000.0
JP,1982-05,230760479801730.0,358700000000000.0
JP,1982-06,233732688502832.0,360800000000000.0
JP,1982-07,236710969436861.0,364200000000000.0
JP,1982-08,237187490404514.0,366700000000000.0
JP,1982-09,238359431359637.0,368600000000000.0
JP,1982-10,237296591507616.0,370900000000000.0
JP,1982-11,238774135005186.0,373100000000000.0
JP,1982-12,247123554826126.0,374800000000000.0
JP,1983-01,244274184410815.0,376800000000000.0
JP,1983-02,242326590357729.0,378800000000000.0
JP,1983-03,246193507740105.0,380800000000000.0
JP,1983-04,247407058422506.0,383600000000000.0
JP,1983-05,248165888448915.0,386000000000000.0
JP,1983-06,251690670346474.0,388600000000000.0
JP,1983-07,253444450669871.0,390400000000000.0
JP,1983-08,253579433421519.0,392600000000000.0
JP,1983-09,255573913076395.0,395200000000000.0
JP,1983-10,254359167856368.0,397600000000000.0
JP,1983-11,255083654926052.0,399200000000000.0
JP,1983-12,265781834352541.0,403000000000000.0
JP,1984-01,262790015325426.0,405300000000000.0
JP,1984-02,261301024175614.0,408000000000000.0
JP,1984-03,266955865748509.0,411500000000000.0
JP,1984-04,266362877362399.0,412500000000000.0
JP,1984-05,266905695168250.0,415400000000000.0
JP,1984-06,270518673760470.0,418200000000000.0
JP,1984-07,272929250688123.0,420800000000000.0
JP,1984-08,273211858381285.0,423500000000000.0
JP,1984-09,276192030666555.0,426700000000000.0
JP,1984-10,274007420439668.0,428800000000000.0
JP,1984-11,275859750117145.0,431600000000000.0
JP,1984-12,286408910974891.0,433900000000000.0
JP,1985-01,283552970602642.0,437300000000000.0
JP,1985-02,282021573367135.0,440300000000000.0
JP,1985-03,288098584445736.0,443600000000000.0
JP,1985-04,288849251798372.0,447300000000000.0
JP,1985-05,289160627939341.0,450200000000000.0
JP,1985-06,292707807417372.0,452900000000000.0
JP,1985-07,295441307683038.0,455900000000000.0
JP,1985-08,295802655314661.0,458800000000000.0
JP,1985-09,298978234046453.0,462100000000000.0
JP,1985-10,297678875744642.0,466000000000000.0
JP,1985-11,300867295755905.0,470000000000000.0
JP,1985-12,312909628645151.0,474000000000000.0
JP,1986-01,309195014809987.0,476400000000000.0
JP,1986-02,307448302167538.0,479500000000000.0
JP,1986-03,313896913992378.0,482800000000000.0
JP,1986-04,313248479151499.0,485300000000000.0
JP,1986-05,313536462263974.0,488200000000000.0
JP,1986-06,317632631325587.0,492200000000000.0
JP,1986-07,321232071824721.0,495800000000000.0
JP,1986-08,322094328900511.0,499100000000000.0
JP,1986-09,325496571146685.0,502900000000000.0
JP,1986-10,323097441871273.0,505700000000000.0
JP,1986-11,325974983465578.0,508700000000000.0
JP,1986-12,338415396018421.0,513900000000000.0
JP,1987-01,335911147431991.0,517800000000000.0
JP,1987-02,334485765410721.0,521600000000000.0
JP,1987-03,342088798305515.0,527100000000000.0
JP,1987-04,343958448778557.0,532800000000000.0
JP,1987-05,345512641773745.0,537900000000000.0
JP,1987-06,349484877556743.0,542600000000000.0
JP,1987-07,354470678514724.0,547600000000000.0
JP,1987-08,357444479932659.0,553100000000000.0
JP,1987-09,361519147317018.0,558700000000000.0
JP,1987-10,360799139763429.0,563400000000000.0
JP,1987-11,366249814947217.0,570000000000000.0
JP,1987-12,377173363805660.0,573500000000000.0
JP,1988-01,376012770957976.0,578800000000000.0
JP,1988-02,376118387993004.0,584900000000000.0
JP,1988-03,382374181536177.0,589200000000000.0
JP,1988-04,382971350803975.0,593700000000000.0
JP,1988-05,385038697253987.0,599900000000000.0
JP,1988-06,388437057252879.0,604400000000000.0
JP,1988-07,393961992859034.0,609100000000000.0
JP,1988-08,396516611115326.0,614400000000000.0
JP,1988-09,399925124684032.0,618900000000000.0
JP,1988-10,400569876367234.0,624400000000000.0
JP,1988-11,404118150838088.0,628900000000000.0
JP,1988-12,416454240438331.0,633800000000000.0
JP,1989-01,413692469448868.0,635500000000000.0
JP,1989-02,415415390883615.0,645100000000000.0
JP,1989-03,421914571467922.0,650200000000000.0
JP,1989-04,422168808892485.0,653800000000000.0
JP,1989-05,421195360272749.0,657100000000000.0
JP,1989-06,424912263638361.0,662700000000000.0
JP,1989-07,432620614933777.0,668500000000000.0
JP,1989-08,434704884000147.0,673900000000000.0
JP,1989-09,438258633435117.0,678500000000000.0
JP,1989-10,438835694652890.0,683600000000000.0
JP,1989-11,444026557903197.0,690300000000000.0
JP,1989-12,460672439710359.0,701600000000000.0
JP,1990-01,461391551360729.0,708700000000000.0
JP,1990-02,464609934357425.0,722300000000000.0
JP,1990-03,470929536118743.0,727000000000000.0
JP,1990-04,477920667115028.0,739800000000000.0
JP,1990-05,476829058815200.0,743500000000000.0
JP,1990-06,478321633577887.0,745600000000000.0
JP,1990-07,485413802548304.0,749800000000000.0
JP,1990-08,486437521293100.0,753800000000000.0
JP,1990-09,490806841291675.0,758600000000000.0
JP,1990-10,490598892200088.0,762200000000000.0
JP,1990-11,487851555206930.0,758200000000000.0
JP,1990-12,499922556999181.0,760800000000000.0
JP,1991-01,495625008802919.0,762400000000000.0
JP,1991-02,490375414119374.0,764200000000000.0
JP,1991-03,494774099834569.0,765600000000000.0
JP,1991-04,496283895848019.0,768000000000000.0
JP,1991-05,494000736267054.0,769800000000000.0
JP,1991-06,496094860268831.0,771500000000000.0
JP,1991-07,501708191659250.0,774300000000000.0
JP,1991-08,499796234645316.0,774200000000000.0
JP,1991-09,501817790486363.0,776300000000000.0
JP,1991-10,500898991962980.0,778000000000000.0
JP,1991-11,499582113775999.0,777700000000000.0
JP,1991-12,509873553141107.0,777700000000000.0
JP,1992-01,504647849210066.0,777800000000000.0
JP,1992-02,498185102023327.0,776800000000000.0
JP,1992-03,503495219946550.0,779100000000000.0
JP,1992-04,504030770981848.0,777700000000000.0
JP,1992-05,499449918278810.0,775700000000000.0
JP,1992-06,500742009810068.0,776600000000000.0
JP,1992-07,502587172261793.0,775100000000000.0
JP,1992-08,501439520238383.0,775400000000000.0
JP,1992-09,499228829273346.0,774100000000000.0
JP,1992-10,497882386280141.0,774700000000000.0
JP,1992-11,496645542114049.0,775200000000000.0
JP,1992-12,507645541380505.0,776800000000000.0
JP,1993-01,503232819848214.0,777300000000000.0
JP,1993-02,498835129581040.0,779000000000000.0
JP,1993-03,501507310248613.0,777700000000000.0
JP,1993-04,506642328864941.0,780800000000000.0
JP,1993-05,506906023045704.0,784100000000000.0
JP,1993-06,507844730529507.0,785800000000000.0
JP,1993-07,510558620469159.0,785700000000000.0
JP,1993-08,509934872739201.0,787400000000000.0
JP,1993-09,508656219756226.0,787400000000000.0
JP,1993-10,507002780593345.0,788800000000000.0
JP,1993-11,504284411137598.0,788100000000000.0
JP,1993-12,514537028029888.0,789000000000000.0
JP,1994-01,511115772726513.0,789900000000000.0
JP,1994-02,506435574310979.0,791000000000000.0
JP,1994-03,511280618918791.0,793000000000000.0
JP,1994-04,517562990924124.0,796700000000000.0
JP,1994-05,515437012585674.0,797400000000000.0
JP,1994-06,515365937596975.0,797900000000000.0
JP,1994-07,520572628470815.0,801900000000000.0
JP,1994-08,519719728606422.0,803300000000000.0
JP,1994-09,520533009639579.0,806600000000000.0
JP,1994-10,519242013101144.0,808100000000000.0
JP,1994-11,517931505781498.0,809200000000000.0
JP,1994-12,529485173237234.0,811500000000000.0
JP,1995-01,526962110683208.0,813900000000000.0
JP,1995-02,524437754046754.0,817600000000000.0
JP,1995-03,529310273019945.0,819400000000000.0
JP,1995-04,533503597808407.0,820400000000000.0
JP,1995-05,531274391510180.0,821600000000000.0
JP,1995-06,531476069279234.0,823000000000000.0
JP,1995-07,534689176401418.0,823700000000000.0
JP,1995-08,533552573851040.0,825900000000000.0
JP,1995-09,533959214367619.0,828900000000000.0
JP,1995-10,531861606297768.0,829900000000000.0
JP,1995-11,535089346505860.0,835100000000000.0
JP,1995-12,546293512161424.0,837200000000000.0
JP,1996-01,543346189660847.0,838800000000000.0
JP,1996-02,538994887271452.0,840300000000000.0
JP,1996-03,545260436205230.0,844200000000000.0
JP,1996-04,548484592800447.0,844500000000000.0
JP,1996-05,548389328424837.0,848000000000000.0
JP,1996-06,551281403560248.0,851800000000000.0
JP,1996-07,554255901791798.0,853500000000000.0
JP,1996-08,553332026483508.0,855300000000000.0
JP,1996-09,552156900094718.0,857200000000000.0
JP,1996-10,551236807488908.0,860500000000000.0
JP,1996-11,551816556416338.0,861500000000000.0
JP,1996-12,562119443433688.0,861900000000000.0
JP,1997-01,559727481384027.0,863600000000000.0
JP,1997-02,554530247266386.0,864200000000000.0
JP,1997-03,559861866866862.0,866900000000000.0
JP,1997-04,566019708324768.0,872100000000000.0
JP,1997-05,565286063133291.0,873500000000000.0
JP,1997-06,567068910538902.0,876800000000000.0
JP,1997-07,571053688966965.0,879800000000000.0
JP,1997-08,571090520543742.0,882700000000000.0
JP,1997-09,568406792679126.0,884400000000000.0
JP,1997-10,567112710251826.0,887000000000000.0
JP,1997-11,569261882529165.0,889200000000000.0
JP,1997-12,583361408298609.0,894700000000000.0
JP,1998-01,584655490725909.0,899800000000000.0
JP,1998-02,582274379059677.0,904200000000000.0
JP,1998-03,585137287568073.0,905400000000000.0
JP,1998-04,589284622657965.0,907500000000000.0
JP,1998-05,589986114878364.0,911300000000000.0
JP,1998-06,589123658712970.0,912000000000000.0
JP,1998-07,594080790767945.0,916500000000000.0
JP,1998-08,595669426264659.0,920600000000000.0
JP,1998-09,592849322021166.0,923800000000000.0
JP,1998-10,591723768943822.0,925400000000000.0
JP,1998-11,596584143451156.0,931200000000000.0
JP,1998-12,608815910098798.0,934300000000000.0
JP,1999-01,608221428540657.0,936600000000000.0
JP,1999-02,604904794824289.0,938800000000000.0
JP,1999-03,609228722393107.0,942700000000000.0
JP,1999-04,612500162769321.0,943800000000000.0
JP,1999-05,614097458663818.0,947200000000000.0
JP,1999-06,614642167820909.0,950800000000000.0
JP,1999-07,617613978342802.0,952500000000000.0
JP,1999-08,616368573323729.0,953600000000000.0
JP,1999-09,612314611258207.0,953800000000000.0
JP,1999-10,612898242432919.0,956900000000000.0
JP,1999-11,613829185422158.0,957700000000000.0
JP,1999-12,624901354670137.0,960900000000000.0
JP,2000-01,623999677852715.0,961200000000000.0
JP,2000-02,617576250862806.0,963000000000000.0
JP,2000-03,621012139252090.0,963800000000000.0
JP,2000-04,630214060758214.0,966100000000000.0
JP,2000-05,627594539290952.0,966300000000000.0
JP,2000-06,626410055690765.0,967300000000000.0
JP,2000-07,629784325847548.0,967500000000000.0
JP,2000-08,627351948608235.0,969200000000000.0
JP,2000-09,624273824237699.0,971400000000000.0
JP,2000-10,626031785442785.0,973400000000000.0
JP,2000-11,625523907862470.0,973800000000000.0
JP,2000-12,637261633657290.0,973300000000000.0
JP,2001-01,637542748178420.0,975000000000000.0
JP,2001-02,633441303242296.0,976800000000000.0
JP,2001-03,636342536499500.0,977600000000000.0
JP,2001-04,644871833777835.0,979300000000000.0
JP,2001-05,644219118510465.0,981200000000000.0
JP,2001-06,644368734348021.0,983100000000000.0
JP,2001-07,648409855134073.0,984600000000000.0
JP,2001-08,645856132781000.0,985800000000000.0
JP,2001-09,644189155525033.0,987900000000000.0
JP,2001-10,644154314844298.0,988900000000000.0
JP,2001-11,644598881930477.0,990600000000000.0
JP,2001-12,658305305276428.0,992600000000000.0
JP,2002-01,659772197480173.0,995200000000000.0
