Country,Time,Real GDP (billions chained 2015 JPY)
JP,1994-01,446223.0
JP,1994-02,446223.0
JP,1994-03,446223.0
JP,1994-04,443814.6
JP,1994-05,443814.6
JP,1994-06,443814.6
JP,1994-07,448905.0
JP,1994-08,448905.0
JP,1994-09,448905.0
JP,1994-10,447190.2
JP,1994-11,447190.2
JP,1994-12,447190.2
JP,1995-01,452020.0
JP,1995-02,452020.0
JP,1995-03,452020.0
JP,1995-04,456344.5
JP,1995-05,456344.5
JP,1995-06,456344.5
JP,1995-07,461687.9
JP,1995-08,461687.9
JP,1995-09,461687.9
JP,1995-10,462875.0
JP,1995-11,462875.0
JP,1995-12,462875.0
JP,1996-01,466647.5
JP,1996-02,466647.5
JP,1996-03,466647.5
JP,1996-04,472558.4
JP,1996-05,472558.4
JP,1996-06,472558.4
JP,1996-07,473154.7
JP,1996-08,473154.7
JP,1996-09,473154.7
JP,1996-10,478473.3
JP,1996-11,478473.3
JP,1996-12,478473.3
JP,1997-01,479556.3
JP,1997-02,479556.3
JP,1997-03,479556.3
JP,1997-04,476093.7
JP,1997-05,476093.7
JP,1997-06,476093.7
JP,1997-07,477001.4
JP,1997-08,477001.4
JP,1997-09,477001.4
JP,1997-10,477207.0
JP,1997-11,477207.0
JP,1997-12,477207.0
JP,1998-01,471282.1
JP,1998-02,471282.1
JP,1998-03,471282.1
JP,1998-04,469326.3
JP,1998-05,469326.3
JP,1998-06,469326.3
JP,1998-07,470140.8
JP,1998-08,470140.8
JP,1998-09,470140.8
JP,1998-10,473925.3
JP,1998-11,473925.3
JP,1998-12,473925.3
JP,1999-01,467341.3
JP,1999-02,467341.3
JP,1999-03,467341.3
JP,1999-04,469195.4
JP,1999-05,469195.4
JP,1999-06,469195.4
JP,1999-07,471676.9
JP,1999-08,471676.9
JP,1999-09,471676.9
JP,1999-10,471828.1
JP,1999-11,471828.1
JP,1999-12,471828.1
JP,2000-01,479990.3
JP,2000-02,479990.3
JP,2000-03,479990.3
JP,2000-04,482123.9
JP,2000-05,482123.9
JP,2000-06,482123.9
JP,2000-07,482261.0
JP,2000-08,482261.0
JP,2000-09,482261.0
JP,2000-10,486917.4
JP,2000-11,486917.4
JP,2000-12,486917.4
JP,2001-01,490540.7
JP,2001-02,490540.7
JP,2001-03,490540.7
JP,2001-04,486847.7
JP,2001-05,486847.7
JP,2001-06,486847.7
JP,2001-07,481600.1
JP,2001-08,481600.1
JP,2001-09,481600.1
JP,2001-10,479889.3
JP,2001-11,479889.3
JP,2001-12,479889.3
JP,2002-01,480738.4
JP,2002-02,480738.4
JP,2002-03,480738.4
JP,2002-04,484571.3
JP,2002-05,484571.3
JP,2002-06,484571.3
JP,2002-07,486182.1
JP,2002-08,486182.1
JP,2002-09,486182.1
JP,2002-10,487499.4
JP,2002-11,487499.4
JP,2002-12,487499.4
JP,2003-01,487801.2
JP,2003-02,487801.2
JP,2003-03,487801.2
JP,2003-04,491095.9
JP,2003-05,491095.9
JP,2003-06,491095.9
